,index,count,cum_sum,cum_percent
0,Beilagen,392064,392064,9.036222885385005
1,Essen,143525,535589,12.344162123940146
2,Kuchen und Gebäck,104451,640040,14.75153060613017
3,Desserts,101317,741357,17.086667201376233
4,Salate,92722,834079,19.223707731439355
5,Hauptgerichte,84716,918795,21.176227365882394
6,Vegetarisch,81738,1000533,23.060110574250416
7,Beilage,78669,1079202,24.873260004369868
8,Gericht,74650,1153852,26.593780221461948
9,Angebote,71708,1225560,28.246493734218003
10,Essen 1,56634,1282194,29.55178431659969
11,Essen 2,54383,1336577,30.805194242468666
12,Brötchen,51067,1387644,31.982177577046578
13,Kürbiskernbrötchen,44532,1432176,33.008543368172425
14,Roggenbrötchen,43510,1475686,34.011354281041505
15,Käsebrötchen,42932,1518618,35.00084355043464
16,Mohnbrötchen,41603,1560221,35.959702258963524
17,Dessert,40651,1600872,36.89661943706145
18,Hauptessen,40568,1641440,37.8316236455945
19,Aktionsstand,40382,1681822,38.762340958476116
20,Mensa,39278,1721100,39.66761347136216
21,Baguettebrötchen,39155,1760255,40.57005110163999
22,Aktion,38784,1799039,41.46393798844105
23,Eintopf,37355,1836394,42.324889531769585
24,Essen 3,35794,1872188,43.14986341858263
25,Urknacker,35394,1907582,43.9656181749625
26,Vorspeisen,33599,1941181,44.74000208352348
27,Suppen,33329,1974510,45.508163079042056
28,Tellergericht,31311,2005821,46.229813561525255
29,Bagels,30891,2036712,46.9417839570536
30,Pastateller,30871,2067583,47.6532933960603
31,Wahlmenü (Beilage),28685,2096268,48.31442028724967
32,Pasta,28024,2124292,48.960312565398205
33,Sesambrötchen,27695,2151987,49.598622108765454
34,Buffet,27689,2179676,50.23679336517621
35,Hauptkomponenten,27608,2207284,50.873097747674244
36,Hauptgericht,27393,2234677,51.504446847564445
37,Laugengebäck,27260,2261937,52.13273058658561
38,Vegan,25837,2287774,52.72821726909075
39,Wahlmenü (Gemüse),25835,2313609,53.32365785594371
40,Wahlessen 1,25524,2339133,53.911930568884884
41,Beliebt und gerne gegessen,24476,2363609,54.47604916009112
42,Menü 1,24141,2387750,55.03244672955957
43,Snacks,23709,2411459,55.57888763816019
44,Croissants,23136,2434595,56.11212214241529
45,Wahlessen 2,22746,2457341,56.63636799449803
46,Tagesangebot,22059,2479400,57.14477999006178
47,Essen 4,22014,2501414,57.652154833451796
48,Aus dem Suppentopf und Süßes,21980,2523394,58.158746050755006
49,Nachspeisen,21979,2545373,58.665314220232126
50,Fleisch,21133,2566506,59.152383928843065
51,Campus Spezial,20839,2587345,59.63267757658562
52,Auswahlessen 1,20242,2607587,60.09921167215666
53,Gemüse,20158,2627745,60.56380975033673
54,Angebot 1,19974,2647719,61.02416702851754
55,Pasta-Bar pro 100g,19264,2666983,61.468160350179446
56,Mittagessen,18711,2685694,61.89940822401749
57,Sättigungsbeilage,18622,2704316,62.328604841334155
58,Vegetarisches Menü,18414,2722730,62.75300751082556
