,index,count,cum_sum,cum_percent,meal_super_category
0,Beilagen,392239,392239,8.975628397,side_dish
1,Essen,143672,535911,12.26328333,main_dish
2,Kuchen und Gebäck,104662,640573,14.65827011,dessert
3,Desserts,101675,742248,16.98490519,dessert
4,Salate,92911,835159,19.11099314,salad
5,Hauptgerichte,84765,919924,21.05067568,main_dish
6,Vegetarisch,81995,1001919,22.92697215,main_dish
7,Beilage,78763,1080682,24.72931057,side_dish
8,Gericht,75418,1156100,26.45510515,mix
9,Angebote,71753,1227853,28.09703333,main_dish
10,Essen 1,56747,1284600,29.39557831,mix
11,Essen 2,54475,1339075,30.64213298,mix
12,Brötchen,51205,1390280,31.81386004,baked_goods
13,Kürbiskernbrötchen,44670,1434950,32.83604631,baked_goods
14,Roggenbrötchen,43648,1478598,33.83484609,baked_goods
15,Käsebrötchen,43067,1521665,34.82035082,baked_goods
16,Hauptessen,42773,1564438,35.79912793,main_dish
17,Mohnbrötchen,41741,1606179,36.75428972,baked_goods
18,Dessert,40976,1647155,37.69194596,dessert
19,Aktionsstand,40397,1687552,38.61635292,main_dish
20,Mensa,39419,1726971,39.51838025,mix
21,Baguettebrötchen,39290,1766261,40.41745566,baked_goods
22,Aktion,38849,1805110,41.30643964,mix
23,Eintopf,37485,1842595,42.16421112,soup
24,Essen 3,35843,1878438,42.98440863,main_dish
25,Urknacker,35523,1913961,43.79728355,baked_goods
26,Vorspeisen,33765,1947726,44.56993006,other
27,Suppen,33395,1981121,45.33410983,soup
28,Tellergericht,31374,2012495,46.05204294,main_dish
29,Pastateller,30938,2043433,46.75999904,main_dish
30,Bagels,30891,2074324,47.46687963,baked_goods
31,Wahlmenü (Beilage),28685,2103009,48.1232802,side_dish
32,Pasta,28040,2131049,48.76492119,main_dish
33,Sesambrötchen,27833,2158882,49.40182538,baked_goods
34,Buffet,27812,2186694,50.03824903,mix
35,Hauptkomponenten,27699,2214393,50.6720869,main_dish
36,Hauptgericht,27404,2241797,51.29917426,main_dish
37,Laugengebäck,27320,2269117,51.92433945,baked_goods
38,Vegan,25926,2295043,52.51760565,main_dish
39,Wahlmenü (Gemüse),25835,2320878,53.1087895,side_dish
40,Wahlessen 1,25543,2346421,53.69329149,mix
41,Beliebt und gerne gegessen,24713,2371134,54.25880054,main_dish
42,Menü 1,24159,2395293,54.81163237,mix
43,Snacks,23780,2419073,55.35579153,baked_goods
44,Croissants,23167,2442240,55.88592337,baked_goods
45,Wahlessen 2,22757,2464997,56.40667316,mix
46,Tagesangebot,22107,2487104,56.91254896,mix
47,Essen 4,22054,2509158,57.41721195,main_dish
48,Aus dem Suppentopf und Süßes,22040,2531198,57.92155458,mix
49,Nachspeisen,21982,2553180,58.42457,dessert
50,Campus Spezial,21484,2574664,58.91618965,main_dish
51,Fleisch,21159,2595823,59.40037231,main_dish
52,Auswahlessen 1,20459,2616282,59.86853682,main_dish
53,Gemüse,20163,2636445,60.32992795,side_dish
54,Angebot 1,19987,2656432,60.78729166,main_dish
55,Pasta-Bar pro 100g,19274,2675706,61.22833975,main_dish
56,Mittagessen,18752,2694458,61.65744289,main_dish
57,Sättigungsbeilage,18636,2713094,62.08389158,side_dish
58,Vegetarisches Menü,18529,2731623,62.5078918,mix
59,Angebot 2,17932,2749555,62.91823082,main_dish
60,Tigerbrötchen,16753,2766308,63.30159072,baked_goods
61,Auswahlessen 2,16687,2782995,63.68344033,main_dish
62,Mehrkornbrötchen,16680,2799675,64.06512976,baked_goods
63,Wahlmenü (Dessert),16458,2816133,64.44173916,dessert
64,Dinkelbrötchen,16433,2832566,64.81777648,baked_goods
65,Gemüsebeilage,16137,2848703,65.18704041,side_dish
66,Fleischgericht,15791,2864494,65.5483868,mix
67,Wahlmenü (Komponente mit Fleisch),15652,2880146,65.90655245,main_dish
68,Wahlmenü (Komponente ohne Fleisch),15651,2895797,66.26469521,main_dish
69,Vegetarisches Gericht,15282,2911079,66.61439413,mix
70,Gut und günstig,15217,2926296,66.96260565,main_dish
71,Pizza,15201,2941497,67.31045104,main_dish
72,Angebot 3,15172,2956669,67.65763282,main_dish
73,Wahlmenü (Salat),15094,2971763,68.00302972,salad
74,Linie 4/5,14820,2986583,68.34215666,mix
75,Tagesgericht 1,14769,3001352,68.68011657,main_dish
76,Wok,14747,3016099,69.01757305,main_dish
77,Gersterling,14630,3030729,69.35235221,baked_goods
78,Klassiker,14169,3044898,69.67658228,main_dish
79,Essen I,13680,3058578,69.98962253,main_dish
80,Essen II,13264,3071842,70.29314343,main_dish
81,Gemüsebeilagen,13246,3085088,70.59625244,side_dish
82,Pasta-Teller,13015,3098103,70.89407546,main_dish
83,Grill,12573,3110676,71.18178417,main_dish
84,Salatbuffet,12447,3123123,71.46660961,salad
85,Schneller Teller,12220,3135343,71.7462406,mix
86,Suppe,12218,3147561,72.02582582,soup
87,Essen 5,12149,3159710,72.30383211,main_dish
88,Aktionen,12144,3171854,72.58172399,main_dish
89,Sättigungsbeilagen,11965,3183819,72.85551979,side_dish
90,Smoothie,11891,3195710,73.12762226,other
91,Wahlmenü (Suppe),11798,3207508,73.39759659,soup
92,Angebot 4,11661,3219169,73.66443595,main_dish
93,Hauptbeilagen,11084,3230253,73.91807178,side_dish
94,WOK 2 Aktion,10792,3241045,74.16502576,main_dish
95,Empfehlung des Tages,10516,3251561,74.40566401,main_dish
96,Gut & Günstig,9952,3261513,74.63339622,mix
97,Imbissangebot,9917,3271430,74.86032753,mix
98,Tagesgericht,9914,3281344,75.08719018,main_dish
99,Aktions-Theke,9731,3291075,75.30986523,mix
100,Essen 6,9402,3300477,75.52501176,main_dish
101,Cafeteria Heiße Theke,9178,3309655,75.73503248,other
102,Self-Service,8846,3318501,75.93745602,mix
103,Gemüse-Bar pro 100g,8748,3327249,76.13763703,side_dish
104,Menü 2,8712,3335961,76.33699424,main_dish
105,Menü I,8568,3344529,76.5330563,main_dish
106,L6 Update,8566,3353095,76.72907258,mix
107,Menü,8490,3361585,76.92334976,main_dish
108,Dessertauswahl,8464,3370049,77.11703198,dessert
109,Tagesgericht 4,8414,3378463,77.30957004,main_dish
110,Linie 2,8278,3386741,77.49899601,mix
111,Nebenbeilage,7859,3394600,77.67883397,side_dish
112,Geflügel,7702,3402302,77.8550793,main_dish
113,Querbeet,7634,3409936,78.02976857,mix
114,Tagesgericht 3,7581,3417517,78.20324505,main_dish
115,Schwein,7384,3424901,78.37221356,main_dish
116,Linie 3,7275,3432176,78.53868782,mix
117,Pasta Buffetpro 100g,7267,3439443,78.70497901,main_dish
